[Chat Event] Time: 2026-07-19T08:34:07.402Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: บอกแวร์อย่าแพร่ม
[Chat Event] Time: 2026-07-19T08:34:07.403Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS ดิว่ะ
[Chat Event] Time: 2026-07-19T08:34:07.404Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: Psดิครับ
[Chat Event] Time: 2026-07-19T08:34:07.404Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: กี่เกมเฮียโก้
[Chat Event] Time: 2026-07-19T08:34:07.540Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: กี่เกมเฮียโก้
[Chat Event] Time: 2026-07-19T08:34:07.540Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: as
[Chat Event] Time: 2026-07-19T08:34:09.818Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: Psดิครับ
[Chat Event] Time: 2026-07-19T08:34:10.276Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: กี่เกมเฮียโก้
[Chat Event] Time: 2026-07-19T08:34:10.277Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: กี่เกมเฮียโก้
[Chat Event] Time: 2026-07-19T08:34:10.277Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: as
[Chat Event] Time: 2026-07-19T08:34:10.277Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ขอนอกใจพี่โก้วันนึง ขอas55555
[Chat Event] Time: 2026-07-19T08:34:10.278Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: psss
[Chat Event] Time: 2026-07-19T08:34:11.728Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:11.729Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
[Chat Event] Time: 2026-07-19T08:34:14.178Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
[Chat Event] Time: 2026-07-19T08:34:15.035Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:15.036Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
[Chat Event] Time: 2026-07-19T08:34:17.433Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: อีกคนใคร
[Chat Event] Time: 2026-07-19T08:34:17.434Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
[Chat Event] Time: 2026-07-19T08:34:18.278Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: อีเกิบไม่มาหรอครับเฮียย
[Chat Event] Time: 2026-07-19T08:34:19.139Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:19.934Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: อย่าแพร่ม
[Chat Event] Time: 2026-07-19T08:34:19.934Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
